                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,       metrics/mAP50(B),   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
109,1.2717,0.90483,1.077,1.5033,1.0691,0.54687,0.61287,0.51604,0.54687,0.34551,1.3402,0.96579,1.1808,1.4796,1.1247,1.163,0.006469,0.006469,0.006469
110,1.2679,0.91532,1.0827,1.5092,1.0942,0.55298,0.67566,0.51315,0.55298,0.34841,1.34,0.97439,1.1804,1.4799,1.1639,1.1627,0.006436,0.006436,0.006436
111,1.262,0.90895,1.0752,1.5028,1.0666,0.55729,0.67956,0.52237,0.55729,0.35005,1.3338,0.96001,1.179,1.4725,1.1309,1.1581,0.006403,0.006403,0.006403
112,1.2639,0.92551,1.0754,1.4935,1.0962,0.55803,0.61003,0.52763,0.55803,0.35209,1.3344,0.95999,1.1786,1.4734,1.1325,1.1582,0.00637,0.00637,0.00637
113,1.2538,0.90381,1.0679,1.5012,1.0849,0.55849,0.63253,0.51048,0.55849,0.35259,1.3378,0.961,1.1825,1.4771,1.1337,1.1618,0.006337,0.006337,0.006337
114,1.2629,0.89578,1.0739,1.497,1.0628,0.56071,0.68064,0.53006,0.56071,0.35541,1.3365,0.95915,1.1831,1.475,1.1359,1.161,0.006304,0.006304,0.006304
115,1.2509,0.88048,1.0647,1.4906,1.0398,0.5603,0.69735,0.51088,0.5603,0.3547,1.336,0.96473,1.1825,1.4749,1.145,1.1592,0.006271,0.006271,0.006271
116,1.2439,0.89279,1.0626,1.4857,1.0569,0.56277,0.62977,0.51471,0.56277,0.35556,1.3335,0.96166,1.1796,1.4729,1.1388,1.1577,0.006238,0.006238,0.006238
117,1.2327,0.88761,1.0697,1.4682,1.0511,0.56551,0.63268,0.52401,0.56551,0.35704,1.331,0.95268,1.1771,1.4738,1.1067,1.1567,0.006205,0.006205,0.006205
118,1.2517,0.90279,1.0709,1.4977,1.0699,0.568,0.62157,0.53176,0.568,0.3596,1.3322,0.9469,1.1783,1.4771,1.0887,1.1588,0.006172,0.006172,0.006172
119,1.2392,0.87867,1.0643,1.4838,1.0419,0.56392,0.60737,0.53607,0.56392,0.35901,1.3371,0.94754,1.1815,1.4788,1.0893,1.1603,0.006139,0.006139,0.006139
120,1.2778,0.90503,1.0749,1.5006,1.0569,0.56347,0.62755,0.53156,0.56347,0.3569,1.3393,0.94452,1.183,1.4792,1.0846,1.1618,0.006106,0.006106,0.006106
121,1.2441,0.87766,1.0586,1.4848,1.0335,0.56064,0.61582,0.52921,0.56064,0.35634,1.3395,0.94522,1.1836,1.4773,1.0891,1.1611,0.006073,0.006073,0.006073
122,1.2323,0.87401,1.0591,1.4774,1.0345,0.55469,0.63641,0.51186,0.55469,0.35289,1.3375,0.94341,1.1831,1.4763,1.0875,1.1608,0.00604,0.00604,0.00604
123,1.2299,0.88423,1.0606,1.4667,1.0442,0.56083,0.64246,0.51396,0.56083,0.35626,1.3346,0.94219,1.1799,1.474,1.0894,1.1591,0.006007,0.006007,0.006007
124,1.2416,0.88737,1.0582,1.4865,1.0474,0.56576,0.63597,0.52171,0.56576,0.35951,1.3308,0.93928,1.1777,1.4673,1.0881,1.1549,0.005974,0.005974,0.005974
125,1.2255,0.86696,1.056,1.4771,1.0211,0.56928,0.63197,0.52638,0.56928,0.36134,1.3288,0.93701,1.1766,1.4678,1.0867,1.1553,0.005941,0.005941,0.005941
126,1.2402,0.86307,1.0604,1.4825,1.019,0.57183,0.61572,0.53375,0.57183,0.3617,1.3299,0.93625,1.1775,1.4678,1.0858,1.1551,0.005908,0.005908,0.005908
127,1.2395,0.87622,1.064,1.483,1.0366,0.57219,0.70172,0.52731,0.57219,0.36118,1.3305,0.93694,1.1791,1.4687,1.0893,1.1568,0.005875,0.005875,0.005875
128,1.2295,0.87341,1.0538,1.4663,1.0132,0.56736,0.70267,0.52836,0.56736,0.35865,1.3301,0.93927,1.1791,1.4684,1.101,1.1568,0.005842,0.005842,0.005842
129,1.2198,0.86556,1.0615,1.4528,1.017,0.56858,0.7033,0.52827,0.56858,0.35941,1.3291,0.94003,1.1798,1.4669,1.1017,1.1569,0.005809,0.005809,0.005809
130,1.2094,0.86146,1.0434,1.4482,1.0135,0.56565,0.701,0.52895,0.56565,0.3605,1.3292,0.9404,1.1793,1.4663,1.1025,1.1555,0.005776,0.005776,0.005776
131,1.2318,0.8533,1.0452,1.4644,0.98808,0.56504,0.63145,0.5321,0.56504,0.36046,1.3295,0.94189,1.1787,1.4674,1.1113,1.1552,0.005743,0.005743,0.005743
132,1.2378,0.86751,1.058,1.4769,1.0173,0.56453,0.62693,0.53459,0.56453,0.35945,1.3304,0.94405,1.1784,1.4686,1.1196,1.1542,0.00571,0.00571,0.00571
133,1.2136,0.84395,1.0485,1.4602,0.99146,0.56427,0.62839,0.53616,0.56427,0.35845,1.3315,0.94413,1.178,1.4694,1.1275,1.154,0.005677,0.005677,0.005677
134,1.2001,0.84931,1.0469,1.4402,0.9936,0.56404,0.70562,0.53399,0.56404,0.3579,1.3306,0.94094,1.1765,1.4695,1.117,1.1524,0.005644,0.005644,0.005644
