                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.2735,                0.92013,                 1.0776,                 1.4971,                 1.0981,                 1.0499,                0.64525,                0.50585,                0.53136,                0.32809,                 1.3547,                 1.0182,                  1.192,                 1.4753,                 1.1965,                 1.1656,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.2681,                0.92301,                 1.0798,                 1.4949,                 1.0928,                 1.0512,                0.66192,                0.49297,                0.53542,                0.33184,                 1.3533,                 1.0135,                 1.1891,                 1.4777,                 1.1962,                  1.165,               0.005743,               0.005743,               0.005743
                     89,                 1.2876,                0.94154,                 1.0852,                 1.5075,                 1.1094,                 1.0546,                0.66003,                 0.5103,                 0.5352,                  0.333,                 1.3554,                 1.0235,                 1.1918,                 1.4799,                 1.1971,                 1.1657,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.2602,                0.91876,                 1.0772,                  1.486,                 1.0885,                 1.0461,                0.66145,                0.51679,                0.53783,                0.33366,                  1.355,                 1.0104,                 1.1962,                 1.4802,                   1.19,                 1.1714,               0.005644,               0.005644,               0.005644
                     91,                  1.286,                0.94495,                 1.0821,                 1.5164,                  1.131,                 1.0503,                0.67213,                0.49921,                0.53184,                0.33037,                 1.3563,                 1.0073,                 1.1961,                 1.4826,                 1.1886,                 1.1715,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.2635,                0.93014,                  1.079,                 1.4968,                 1.1222,                 1.0542,                0.65952,                0.49985,                0.53412,                0.33117,                  1.357,                  1.015,                 1.1936,                 1.4857,                 1.2079,                 1.1701,               0.005545,               0.005545,               0.005545
                     93,                 1.2668,                0.90958,                 1.0785,                 1.4913,                 1.0906,                 1.0475,                0.66699,                0.50373,                0.53972,                 0.3346,                 1.3506,                 1.0096,                 1.1901,                 1.4802,                 1.1987,                 1.1684,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.2682,                0.91738,                  1.073,                 1.4958,                 1.0877,                 1.0409,                0.58257,                 0.5134,                0.54373,                0.33412,                 1.3499,                  1.012,                 1.1905,                  1.478,                 1.2115,                  1.168,               0.005446,               0.005446,               0.005446
                     95,                 1.2715,                  0.911,                 1.0788,                 1.4964,                  1.083,                 1.0487,                0.68297,                0.48688,                0.53916,                0.33427,                 1.3504,                 1.0123,                 1.1896,                 1.4722,                 1.2147,                 1.1643,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.2592,                0.90582,                 1.0717,                 1.4932,                 1.0742,                 1.0407,                0.67774,                 0.4994,                0.54443,                0.33677,                 1.3503,                 1.0111,                 1.1912,                 1.4755,                 1.2022,                 1.1659,               0.005347,               0.005347,               0.005347
                     97,                 1.2391,                0.89446,                 1.0695,                   1.47,                 1.0623,                 1.0442,                0.66387,                0.50449,                0.54049,                0.33549,                 1.3536,                  1.002,                 1.1935,                 1.4767,                 1.1765,                  1.167,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.2429,                0.90007,                 1.0686,                  1.483,                   1.07,                  1.043,                0.66723,                0.51039,                0.54301,                0.33883,                 1.3528,                0.99999,                 1.1932,                 1.4781,                  1.173,                 1.1674,               0.005248,               0.005248,               0.005248
                     99,                 1.2474,                0.90459,                 1.0658,                 1.4678,                 1.0639,                 1.0391,                0.65807,                0.51103,                0.53947,                 0.3381,                 1.3433,                0.99407,                 1.1873,                 1.4725,                 1.1514,                 1.1668,              0.0051985,              0.0051985,              0.0051985
